Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
34,10000,0.04,0.01,CH_WB01,195001648,80836.96516,0.013,0.013,0.03,0,0,0.022766639,0.0268,16858.7641227068,0,0,0,16858.7641227068,5351238.51701939,5343647.77614621,5797.18511010571,5797.18511010571,1752.65774758467,0,0,6677.41640769494,5119.35257923279,0,7549.84285769038,10152.476293323,11934.1467000599,0,6706.28782938379,4924.61742264691,0,
35,10000,0.04,0.01,CH_WB01,195001649,180552.034,0.013,0.013,0.03,0,0,0.022469578,0.0274,39456.1968818446,0,0,0,39456.1968818446,11901082.5915739,11884180.7103142,12892.8348575351,12892.8348575351,3927.89102523132,0,0,14850.4703640681,11385.3606124522,0,16820.7258827664,22284.3586313177,27135.5459552175,0,17171.8382505269,12320.6509266271,0,
36,10000,0.04,0.01,CH_WB01,195001650,50826.62661,0.013,0.013,0.03,0,0,0.022182743,0.0268,10602.0765549401,0,0,0,10602.0765549401,3408640.10581055,3403753.30452783,3692.68818879443,3692.68818879443,1085.15522202397,0,0,4253.37236423668,3260.91881258145,0,4777.84341081839,6301.08228722401,7601.71571344549,0,4300.99426771608,3000.36084149461,0,
37,10000,0.04,0.01,CH_WB01,195001654,236688.1256,0.013,0.013,0.03,0,0,0.022823527,0.0282,43732.9374184319,0,0,0,43732.9374184319,15921353.2751423,15898846.60713,17248.1307589057,17248.1307589057,5074.53501834024,0,0,19867.1079751405,15231.4494476077,0,22322.665777246,30281.7863626456,37362.2895267556,0,13451.1510557862,6370.64789167631,0,
38,10000,0.04,0.01,CH_WB01,195001655,21544.92783,0.013,0.013,0.03,0,0,0.019421593,0.0268,4944.57824089177,0,0,0,4944.57824089177,1785018.1399436,1782630.0438418,1933.7646399385,1933.7646399385,422.782819407274,0,0,2227.22866508767,1707.54197656722,0,2356.54745934577,2888.99131763346,3981.20709791335,0,2055.58692325831,963.371142978421,0,
39,10000,0.04,0.01,CH_WB01,195001656,197231.0439,0.013,0.013,0.03,0,0,0.020253322,0.0282,45191.9912324067,0,0,0,45191.9912324067,18048422.8384142,18024242.4283871,19552.4491574485,19552.4491574485,4205.2079876004,0,0,22519.4284147815,17264.8951179992,0,23757.6571450489,30461.7099448797,42356.9697067096,0,14730.281287527,2835.02152569714,0,
40,10000,0.04,0.01,CH_WB01,195001657,94070.73275,0.013,0.013,0.03,0,0,0.021397039,0.0268,22756.8660761117,0,0,0,22756.8660761117,7480892.70189641,7470339.54479805,8104.30461871987,8104.30461871987,2368.57409687054,0,0,9334.58519108304,7156.51531316366,0,10472.8787155904,13339.0794081077,16683.7583167156,0,9417.78666800399,6073.1077593961,0,
41,10000,0.04,0.01,CH_WB01,195001658,83697.48882,0.013,0.013,0.03,0,0,0.022184576,0.0268,17459.9425188139,0,0,0,17459.9425188139,5613023.66200552,5604976.53277693,6080.76927967223,6080.76927967223,1786.96624218055,0,0,7004.04823247207,5369.77031156192,0,7867.73552185279,10376.8791682966,12517.7809232018,0,7083.06335051724,4942.16159561207,0,
42,10000,0.04,0.01,CH_WB01,195001659,44784.71068,0.013,0.013,0.03,0,0,0.022886729,0.0282,8091.48948490026,0,0,0,8091.48948490026,3014914.81661495,3010660.97888245,3266.15492716585,3266.15492716585,956.068561585229,0,0,3762.09913955157,2884.27600698953,0,4222.22348875108,5750.12819716259,7075.05330037376,0,2341.36128773767,1016.43618452649,0,
43,10000,0.04,0.01,CH_WB01,195001660,32239.15714,0.013,0.013,0.03,0,0,0.020489324,0.0282,7686.86925770997,0,0,0,7686.86925770997,3021119.78222901,3017077.29394905,3272.88427074886,3272.88427074886,721.264060116059,0,0,3769.50461123296,2889.9535352786,0,3994.14833086492,5158.3918384083,7090.13164078027,0,2528.47741930167,596.737616929703,0,
44,10000,0.04,0.01,CH_WB01,195001661,356374.9585,0.013,0.013,0.03,0,0,0.021589886,0.0274,87745.3103866239,0,0,0,87745.3103866239,26261398.9247003,26225331.9488196,28449.829514257,28449.829514257,7464.77597945659,0,0,32768.6070500997,25122.5987384098,0,35914.6054937136,47248.3840820668,59881.1746164714,0,40496.9263045572,27864.1357701525,0,
45,10000,0.04,0.01,CH_WB01,195001665,94193.46433,0.013,0.013,0.03,0,0,0.020103668,0.0268,24928.6328117036,0,0,0,24928.6328117036,8614077.33591808,8602530.18002678,9331.90990641035,9331.90990641035,2139.860233341,0,0,10747.9932125044,8240.12812958673,0,11471.7701397514,14431.2125739685,19212.3174020598,0,10497.4202377351,5716.31540964377,0,
46,10000,0.04,0.01,CH_WB01,195001670,84451.88302,0.013,0.013,0.03,0,0,0.022869459,0.0282,15251.6043094313,0,0,0,15251.6043094313,5685500.80216135,5677479.10254259,6159.29218567767,6159.29218567767,1802.74871514908,0,0,7094.53472709542,5439.14329077316,0,7962.04090082675,10835.3606241247,13342.0758909751,0,4416.24368530659,1909.52841845618,0,
47,10000,0.04,0.01,CH_WB01,195001671,105458.5903,0.013,0.013,0.03,0,0,0.021895399,0.0268,22681.9548845136,0,0,0,22681.9548845136,7403207.66030875,7392809.06769335,8020.14540200035,8020.14540200035,2262.25222510312,0,0,9237.8078256158,7082.31933297211,0,10282.3976271035,13508.0154668597,16510.6069178485,0,9173.93941765386,6171.3479666651,0,
48,10000,0.04,0.01,CH_WB01,195001672,251092.0631,0.013,0.013,0.03,0,0,0.022185205,0.0268,52381.2737788238,0,0,0,52381.2737788238,16838957.2592675,16814816.0005929,18242.2081567082,18242.2081567082,5360.90698270245,0,0,21012.0027553534,16109.2021124376,0,23603.1151394106,31131.3098985905,37553.0890679907,0,21249.9638802333,14828.1847108331,0,
49,10000,0.04,0.01,CH_WB01,195001673,518063.7937,0.013,0.013,0.03,0,0,0.020116114,0.0268,137182.498083392,0,0,0,137182.498083392,47373574.587215,47310068.6752767,51321.3746653177,51321.3746653177,11770.356688066,0,0,59109.1587224552,45317.0216872156,0,63091.7313533837,79414.3522486601,105659.153374785,0,57768.1458347315,31523.344708607,0,
50,10000,0.04,0.01,CH_WB01,195001674,279326.2917,0.013,0.013,0.03,0,0,0.021074766,0.0274,65070.0514269946,0,0,0,65070.0514269946,20787189.6475531,20757780.1434076,22519.4551948566,22519.4551948566,6298.24922435121,0,0,25938.3201614375,19886.0454571021,0,28817.7044192078,36507.0964683171,47396.9313274472,0,28562.9549586776,17673.1200995474,0,
51,10000,0.04,0.01,CH_WB01,195001675,95059.1142,0.013,0.013,0.03,0,0,0.022309761,0.0268,20309.5402314224,0,0,0,20309.5402314224,6469043.10896105,6459855.62785993,7008.12502054086,7008.12502054086,2118.77735951542,0,0,8072.23032798979,6188.70991812551,0,9126.90238005629,12026.9004716348,14427.0109022205,0,8282.63975978759,5882.52932920192,0,
52,10000,0.04,0.01,CH_WB01,195001676,135938.7399,0.013,0.013,0.03,0,0,0.022493722,0.0268,28410.0083882563,0,0,0,28410.0083882563,8997543.17341409,8984768.10906379,9747.33458702917,9747.33458702917,2948.04004919633,0,0,11227.3643766602,8607.64602210614,0,12695.3746362255,16865.6862354812,20065.9821102425,0,11544.3221527751,8344.02627801386,0,
53,10000,0.04,0.01,CH_WB01,195001678,214279.6605,0.013,0.013,0.03,0,0,0.020116095,0.0268,56740.8800400707,0,0,0,56740.8800400707,19594487.785744,19568220.7015303,21227.3606812229,21227.3606812229,4868.41140730524,0,0,24448.5179512,18743.8637625867,0,26095.7720885282,32847.0481478638,43702.3595667509,0,23893.8318922069,13038.5204733198,0,
54,10000,0.04,0.01,CH_WB01,195001679,181884.8516,0.013,0.013,0.03,0,0,0.02276126,0.0268,37924.1516680955,0,0,0,37924.1516680955,12040857.7679159,12023778.0085251,13044.2549169079,13044.2549169079,3943.43483095377,0,0,15024.8996087863,11519.0897000695,0,16987.6897478616,22838.7578565461,26853.1042190395,0,15085.3938115494,11071.047449056,0,
