Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
21,12000,0.04,0.01,CH_WB01,195001625,78013.3321,0.013,0.013,0,0,0,0.021255789,0.0282,16385.644589388,0,0,0,16385.644589388,7071047.14671506,7063209.05929671,7676.09574644122,7676.09574644122,0,0,0,8825.57482405832,6766.27403177805,0,7676.09574644122,12525.0571799689,16598.5412893473,0,3860.58740941911,-212.896699959216,0,
22,12000,0.04,0.01,CH_WB01,195001626,56383.60366,0.013,0.013,0,0,0,0.022317162,0.0282,9639.4114867923,0,0,0,9639.4114867923,4040537.10560681,4036081.64101257,4385.77714023883,4385.77714023883,0,0,0,5043.27674308775,3866.51216970061,0,4385.77714023883,7514.44342940318,9484.79185637954,0,2124.96805738912,154.619630412759,0,
23,12000,0.04,0.01,CH_WB01,195001627,27077.95518,0.013,0.013,0,0,0,0.022181343,0.0268,5186.40954612021,0,0,0,5186.40954612021,1852985.66561632,1850890.31079484,2011.71501441825,2011.71501441825,0,0,0,2312.89374656272,1773.21853903142,0,2011.71501441825,3425.14255192657,4133.65502744182,0,1761.26699419364,1052.75451867839,0,
24,12000,0.04,0.01,CH_WB01,195001629,162978.0528,0.013,0.013,0,0,0,0.02214768,0.0268,31885.358609069,0,0,0,31885.358609069,11482264.572015,11469664.4432173,12464.4586355181,12464.4586355181,0,0,0,14331.9349402994,10987.8167875629,0,12464.4586355181,21192.1267846938,25615.5839231853,0,10693.2318243752,6269.77468588369,0,
25,12000,0.04,0.01,CH_WB01,195001632,61826.06591,0.013,0.013,0,0,0,0.022380734,0.0282,10061.6878301148,0,0,0,10061.6878301148,4266649.88751092,4261763.80642846,4631.59707146987,4631.59707146987,0,0,0,5325.58234167211,4082.94646194862,0,4631.59707146987,7957.56301695932,10015.1449451069,0,2104.12481315552,46.5428850079588,0,
26,12000,0.04,0.01,CH_WB01,195001633,119521.7859,0.013,0.013,0,0,0,0.022878256,0.0282,19633.8040818433,0,0,0,19633.8040818433,8206218.52563917,8197173.91385318,8909.09118194642,8909.09118194642,0,0,0,10243.0525159937,7853.00692892854,0,8909.09118194642,15645.3306851263,19263.358697555,0,3988.47339671698,370.445384288301,0,
27,12000,0.04,0.01,CH_WB01,195001634,43584.85851,0.013,0.013,0,0,0,0.020119169,0.0282,8100.91016818284,0,0,0,8100.91016818284,3719407.64029941,3715326.29186589,4034.48606865796,4034.48606865796,0,0,0,4641.85421149735,3558.7548954813,0,4034.48606865796,6235.94924125626,8731.01678588484,0,1864.96092692658,-630.106617702001,0,
28,12000,0.04,0.01,CH_WB01,195001635,184407.7971,0.013,0.013,0,0,0,0.020563577,0.0286,49329.423544558,0,0,0,49329.423544558,17818849.112738,17799102.9054645,19330.1157438037,19330.1157438037,0,0,0,22237.7779930342,17048.9631279929,0,19330.1157438037,30534.9396484307,42421.1952580236,0,18794.4838961272,6908.22828653437,0,
29,12000,0.04,0.01,CH_WB01,195001637,100333.5783,0.013,0.013,0,0,0,0.022891907,0.0282,16486.7944822153,0,0,0,16486.7944822153,6888716.99638707,6881124.52405071,7478.74853441925,7478.74853441925,0,0,0,8598.53910781651,6592.21331599265,0,7478.74853441925,13141.322402551,16170.6426315192,0,3345.4720796643,316.151850696146,0,
30,12000,0.04,0.01,CH_WB01,195001640,205200.5282,0.013,0.013,0,0,0,0.021580952,0.0268,40976.2273744872,0,0,0,40976.2273744872,15033857.6150973,15017369.3132225,16316.9463988607,16316.9463988607,0,0,0,18764.4486200994,14386.0772754095,0,16316.9463988607,27037.0799638541,33538.7914661969,0,13939.1474106331,7437.43590829033,0,
31,12000,0.04,0.01,CH_WB01,195001641,203112.1062,0.013,0.013,0,0,0,0.022660182,0.0268,38900.1624924067,0,0,0,38900.1624924067,13774032.8365548,13758847.4403126,14955.1298862694,14955.1298862694,0,0,0,17192.9165426245,13181.2360160121,0,14955.1298862694,26010.174245859,30728.0926166981,0,12889.9882465477,8172.0698757086,0,
32,12000,0.04,0.01,CH_WB01,195001645,176969.0066,0.013,0.013,0,0,0,0.021859937,0.0282,29500.4687849016,0,0,0,29500.4687849016,12752469.3279146,12737965.1292466,13840.6665177399,13840.6665177399,0,0,0,15917.028708769,12203.0553433895,0,13840.6665177399,23230.6813418871,29934.2180537294,0,6269.78744301449,-433.749268827796,0,
33,12000,0.04,0.01,CH_WB01,195001646,258827.4433,0.013,0.013,0,0,0,0.020916735,0.0282,46184.8724593481,0,0,0,46184.8724593481,20762241.0417175,20739427.2869007,22525.7678485333,22525.7678485333,0,0,0,25912.7141218495,19866.4141600846,0,22525.7678485333,36189.8578229774,48737.6541242167,0,9995.01463637073,-2552.78166486855,0,
34,12000,0.04,0.01,CH_WB01,195001648,80836.96516,0.013,0.013,0,0,0,0.022766639,0.0268,15460.6857581491,0,0,0,15460.6857581491,5461131.05646853,5455134.20217381,5929.53736117637,5929.53736117637,0,0,0,6816.66809167096,5226.1122036144,0,5929.53736117637,10360.966607859,12183.1330515215,0,5099.71915029018,3277.55270662764,0,
35,12000,0.04,0.01,CH_WB01,195001649,180552.034,0.013,0.013,0,0,0,0.022469578,0.0274,36288.0203639919,0,0,0,36288.0203639919,12146963.0215606,12133638.656732,13189.1333233571,13189.1333233571,0,0,0,15162.0480050664,11624.2368038842,0,13189.1333233571,22744.7610896725,27705.1415995381,0,13543.2592743193,8582.87876445381,0,
36,12000,0.04,0.01,CH_WB01,195001650,50826.62661,0.013,0.013,0,0,0,0.022182743,0.0268,9735.72320232579,0,0,0,9735.72320232579,3478109.36777484,3474176.36743631,3776.02455592197,3776.02455592197,0,0,0,4341.37060623811,3328.38413144922,0,3776.02455592197,6429.50051927014,7758.99388727442,0,3306.22268305565,1976.72931505138,0,
37,12000,0.04,0.01,CH_WB01,195001654,236688.1256,0.013,0.013,0,0,0,0.022823527,0.0282,39816.2677189652,0,0,0,39816.2677189652,16240731.9686429,16222807.4712534,17632.0593435318,17632.0593435318,0,0,0,20271.7850543215,15541.7018749798,0,17632.0593435318,30889.2320488404,38123.5975574456,0,8927.03567012478,1692.67016151964,0,
38,12000,0.04,0.01,CH_WB01,195001655,21544.92783,0.013,0.013,0,0,0,0.019421593,0.0268,4604.42402138576,0,0,0,4604.42402138576,1818404.14031708,1816388.8223943,1972.50155700972,1972.50155700972,0,0,0,2269.38047915179,1739.85836734971,0,1972.50155700972,2943.02542689609,4056.60170334727,0,1661.39859448967,547.822318038493,0,
39,12000,0.04,0.01,CH_WB01,195001656,197231.0439,0.013,0.013,0,0,0,0.020253322,0.0282,41901.6192747702,0,0,0,41901.6192747702,18384533.9680193,18364030.5947356,19941.7785478519,19941.7785478519,0,0,0,22943.715838643,17590.1821429596,0,19941.7785478519,31028.9905228527,43155.4718976286,0,10872.6287519174,-1253.85262285839,0,
40,12000,0.04,0.01,CH_WB01,195001657,94070.73275,0.013,0.013,0,0,0,0.021397039,0.0268,20879.7985995298,0,0,0,20879.7985995298,7637630.71709976,7629215.45779492,8291.22813519416,8291.22813519416,0,0,0,9533.01779888672,7308.64697914648,0,8291.22813519416,13618.5568601151,17038.5811890753,0,7261.24173941466,3841.21741045445,0,
41,12000,0.04,0.01,CH_WB01,195001658,83697.48882,0.013,0.013,0,0,0,0.022184576,0.0268,16033.2609938237,0,0,0,16033.2609938237,5727420.32710513,5720943.87231091,6218.00150019774,6218.00150019774,0,0,0,7148.95702516716,5480.86705262815,0,6218.00150019774,10588.365960884,12776.774648161,0,5444.89503293968,3256.4863456627,0,
42,12000,0.04,0.01,CH_WB01,195001659,44784.71068,0.013,0.013,0,0,0,0.022886729,0.0282,7358.4217018632,0,0,0,7358.4217018632,3074821.04475873,3071432.10185761,3338.17834098866,3338.17834098866,0,0,0,3838.01061812802,2942.47480723149,0,3338.17834098866,5864.3829979075,7217.86543936539,0,1494.0387039557,140.556262497804,0,
43,12000,0.04,0.01,CH_WB01,195001660,32239.15714,0.013,0.013,0,0,0,0.020489324,0.0282,7120.87879663359,0,0,0,7120.87879663359,3078569.69683849,3075163.99811243,3339.47167824189,3339.47167824189,0,0,0,3842.02986248051,2945.55622790173,0,3339.47167824189,5256.4843312588,7226.63539556422,0,1864.39446537479,-105.756598930624,0,
44,12000,0.04,0.01,CH_WB01,195001661,356374.9585,0.013,0.013,0,0,0,0.021589886,0.0274,81594.9654267259,0,0,0,81594.9654267259,26786908.602042,26757605.7670558,29070.0956647061,29070.0956647061,0,0,0,33433.235129436,25632.1469325676,0,29070.0956647061,48193.8585842088,61096.5331681108,0,33401.106842517,20498.4322586151,0,
45,12000,0.04,0.01,CH_WB01,195001665,94193.46433,0.013,0.013,0,0,0,0.020103668,0.0268,23201.6986435501,0,0,0,23201.6986435501,8781291.35740681,8771657.5376057,9526.24342969263,9526.24342969263,0,0,0,10959.1411415866,8402.00820854975,0,9526.24342969263,14711.3471717147,19590.0351673194,0,8490.35147183548,3611.66347623073,0,
46,12000,0.04,0.01,CH_WB01,195001670,84451.88302,0.013,0.013,0,0,0,0.022869459,0.0282,13869.5387519946,0,0,0,13869.5387519946,5798454.54748733,5792063.66785697,6295.09274311433,6295.09274311433,0,0,0,7237.6666080302,5548.87773282315,0,6295.09274311433,11050.6265447604,13611.3496194639,0,2818.91220723414,258.189132530671,0,
47,12000,0.04,0.01,CH_WB01,195001671,105458.5903,0.013,0.013,0,0,0,0.021895399,0.0268,20874.0708727533,0,0,0,20874.0708727533,7552665.73384952,7544296.13926844,8198.39581500111,8198.39581500111,0,0,0,9427.02832997401,7227.38838631341,0,8198.39581500111,13780.7191463552,16848.9280443662,0,7093.35172639801,4025.14282838708,0,
48,12000,0.04,0.01,CH_WB01,195001672,251092.0631,0.013,0.013,0,0,0,0.022185205,0.0268,48101.1921350121,0,0,0,48101.1921350121,17182146.5763805,17162717.3656755,18653.9043335838,18653.9043335838,0,0,0,21446.7282996966,16442.491696434,0,18653.9043335838,31765.7870114207,38330.0687833419,0,16335.4051235913,9771.12335167017,0,
49,12000,0.04,0.01,CH_WB01,195001673,518063.7937,0.013,0.013,0,0,0,0.020116114,0.0268,127682.149624967,0,0,0,127682.149624967,48293270.7957851,48240289.4610109,52390.2432246035,52390.2432246035,0,0,0,60270.4976499351,46207.3815316169,0,52390.2432246035,80956.0783967403,107736.646462924,0,46726.0712282265,19945.5031620423,0,
50,12000,0.04,0.01,CH_WB01,195001674,279326.2917,0.013,0.013,0,0,0,0.021074766,0.0274,60012.883163873,0,0,0,60012.883163873,21209234.6131373,21185375.7183343,23021.7585742399,23021.7585742399,0,0,0,26472.523910233,20295.601664512,0,23021.7585742399,37248.3047092474,48373.2745568632,0,22764.5784546256,11639.6086070098,0,
51,12000,0.04,0.01,CH_WB01,195001675,95059.1142,0.013,0.013,0,0,0,0.022309761,0.0268,18621.1001549276,0,0,0,18621.1001549276,6602458.67491129,6595192.14874497,7168.72955032123,7168.72955032123,0,0,0,8241.27669073512,6318.31212956359,0,7168.72955032123,12274.9395874706,14729.2624655304,0,6346.16056745697,3891.83768939717,0,
52,12000,0.04,0.01,CH_WB01,195001676,135938.7399,0.013,0.013,0,0,0,0.022493722,0.0268,26057.2749129087,0,0,0,26057.2749129087,9182868.58164122,9172768.9620943,9970.48677927532,9970.48677927532,0,0,0,11462.1906573481,8787.67950396685,0,9970.48677927532,17213.074419831,20485.8506820106,0,8844.20049307776,5571.42423089814,0,
53,12000,0.04,0.01,CH_WB01,195001678,214279.6605,0.013,0.013,0,0,0,0.020116095,0.0268,52811.3818296577,0,0,0,52811.3818296577,19974889.1723568,19952975.224693,21669.4621833887,21669.4621833887,0,0,0,24928.8667158783,19112.13114884,0,21669.4621833887,33484.7306838,44561.6446684811,0,19326.6511458577,8249.73716117663,0,
54,12000,0.04,0.01,CH_WB01,195001679,181884.8516,0.013,0.013,0,0,0,0.02276126,0.0268,34778.6837430572,0,0,0,34778.6837430572,12288119.0787233,12274625.4894568,13342.0493369524,13342.0493369524,0,0,0,15338.2196950897,11759.3017662354,0,13342.0493369524,23307.7561051485,27413.3302597869,0,11470.9276379087,7365.35348327025,0,
55,12000,0.04,0.01,CH_WB01,195001680,181884.8516,0.013,0.013,0,0,0,0.02276126,0.0268,34778.6837430572,0,0,0,34778.6837430572,12288119.0787233,12274625.4894568,13342.0493369524,13342.0493369524,0,0,0,15338.2196950897,11759.3017662354,0,13342.0493369524,23307.7561051485,27413.3302597869,0,11470.9276379087,7365.35348327025,0,
56,12000,0.04,0.01,CH_WB01,195001681,154748.3598,0.013,0.013,0,0,0,0.022049365,0.0268,30312.1504138803,0,0,0,30312.1504138803,10941201.1806007,10929153.5059673,11876.9163056481,11876.9163056481,0,0,0,13656.5563519232,10470.0265364745,0,11876.9163056481,20103.878197458,24408.4428299936,0,10208.2722164222,5903.70758388667,0,
57,12000,0.04,0.01,CH_WB01,195001682,91260.55016,0.013,0.013,0,0,0,0.02108548,0.0268,18800.1184465312,0,0,0,18800.1184465312,6922424.57979034,6914829.97875226,7512.12640060616,7512.12640060616,0,0,0,8639.9702875955,6623.97722048988,0,7512.12640060616,12163.5537523898,15443.12028588,0,6636.56469414136,3356.99816065111,0,
58,12000,0.04,0.01,CH_WB01,195001683,151588.3906,0.013,0.013,0,0,0,0.019805649,0.0268,32451.1608549977,0,0,0,32451.1608549977,12686161.2571576,12672273.9813595,13761.8917885896,13761.8917885896,0,0,0,15832.5936899594,12138.3218289689,0,13761.8917885896,20938.1380847219,28301.411891703,0,11513.0227702758,4149.74896329473,0,
59,12000,0.04,0.01,CH_WB01,195001686,200547.1002,0.013,0.013,0,0,0,0.022657503,0.0286,43724.5873367842,0,0,0,43724.5873367842,14576612.6814929,14560635.6335467,15821.3326891142,15821.3326891142,0,0,0,18193.7873819775,13948.5703261827,0,15821.3326891142,27522.4704633969,34702.8482599531,0,16202.1168733873,9021.73907683112,0,
60,12000,0.04,0.01,CH_WB01,195001687,94214.97234,0.013,0.013,0,0,0,0.019711868,0.0268,22528.824952751,0,0,0,22528.824952751,8693475.39304437,8683826.27063253,9430.42887079282,9430.42887079282,0,0,0,10849.4588903823,8317.91848262644,0,9430.42887079282,14280.3866174116,19393.8786710793,0,8248.43833533944,3134.94628167168,0,
61,12000,0.04,0.01,CH_WB01,195001689,1371804.425,0.013,0.013,0,0,0,0.01980169,0.0268,293654.925109498,0,0,0,293654.925109498,114811048.99019,114685340.123784,124546.486200262,124546.486200262,0,0,0,143286.555448137,109853.025843571,0,124546.486200262,189454.400056546,256130.592943117,0,104200.525052952,37524.3321663802,0,
62,12000,0.04,0.01,CH_WB01,195001690,224667.0874,0.013,0.013,0,0,0,0.019806295,0.0268,48089.5070636236,0,0,0,48089.5070636236,18781960.7628213,18761480.1796305,20374.6136447218,20374.6136447218,0,0,0,23440.3668198768,17970.9478952389,0,20374.6136447218,31000.0879622387,41900.6390678414,0,17089.419101385,6188.86799578228,0,
63,12000,0.04,0.01,CH_WB01,195001693,214279.6605,0.013,0.013,0,0,0,0.020116095,0.0268,52811.3818296577,0,0,0,52811.3818296577,19974889.1723568,19952975.224693,21669.4621833887,21669.4621833887,0,0,0,24928.8667158783,19112.13114884,0,21669.4621833887,33484.7306838,44561.6446684811,0,19326.6511458577,8249.73716117663,0,
64,12000,0.04,0.01,CH_WB01,195001694,100763.8235,0.013,0.013,0,0,0,0.019806292,0.0268,21571.5782998482,0,0,0,21571.5782998482,8432701.58307285,8423470.49167462,9147.75065499503,9147.75065499503,0,0,0,10524.1873920026,8068.54366720197,0,9147.75065499503,13918.3791586003,18812.4174314067,0,7653.19914124793,2759.16086844154,0,
65,12000,0.04,0.01,CH_WB01,195001697,151145.7353,0.013,0.013,0,0,0,0.019806295,0.0268,32357.3674246219,0,0,0,32357.3674246219,12649052.3811185,12635205.7440623,13721.6259395444,13721.6259395444,0,0,0,15786.2810961886,12102.8155070779,0,13721.6259395444,20877.5719109071,28218.6261617391,0,11479.7955137149,4138.74126288283,0,
66,12000,0.04,0.01,CH_WB01,195001699,95342.41278,0.013,0.013,0,0,0,0.02214604,0.0268,18651.6369895734,0,0,0,18651.6369895734,6717220.89846823,6709849.69907013,7291.82081167136,7291.82081167136,0,0,0,8384.30186039905,6427.96475963927,0,7291.82081167136,12396.6535588594,14985.33099459,0,6254.98343071399,3666.30599498346,0,
67,12000,0.04,0.01,CH_WB01,195001700,50188.15914,0.013,0.013,0,0,0,0.021608605,0.0268,9826.2888036469,0,0,0,9826.2888036469,3578191.84883572,3574166.07668049,3883.92770040467,3883.92770040467,0,0,0,4466.16878874336,3424.06273803657,0,3883.92770040467,6443.31118964257,7982.30423791976,0,3382.97761400433,1843.98456572715,0,
68,12000,0.04,0.01,CH_WB01,195001701,227292.1588,0.013,0.013,0,0,0,0.021959951,0.0268,44681.5719556098,0,0,0,44681.5719556098,16004592.4295111,15987008.7166214,17373.7010678051,17373.7010678051,0,0,0,19976.6081637467,15315.3995922058,0,17373.7010678051,29288.3387939196,35704.3194671212,0,15393.2331616902,8977.25248848859,0,
69,12000,0.04,0.01,CH_WB01,195001703,94070.73275,0.013,0.013,0,0,0,0.021397039,0.0268,20879.7985995298,0,0,0,20879.7985995298,7637630.71709976,7629215.45779492,8291.22813519416,8291.22813519416,0,0,0,9533.01779888672,7308.64697914648,0,8291.22813519416,13618.5568601151,17038.5811890753,0,7261.24173941466,3841.21741045445,0,
70,12000,0.04,0.01,CH_WB01,195001704,83347.06528,0.013,0.013,0,0,0,0.021916681,0.0274,16710.9615085801,0,0,0,16710.9615085801,5717846.21694162,5711402.75873583,6207.73301251825,6207.73301251825,0,0,0,7137.01224509926,5471.70938790943,0,6207.73301251825,10443.0176286472,13041.0362991135,0,6267.94387993289,3669.92520946659,0,
71,12000,0.04,0.01,CH_WB01,195001705,251909.5481,0.013,0.013,0,0,0,0.0198063,0.0268,53928.9511064612,0,0,0,53928.9511064612,21081752.5711502,21058674.8335729,22869.3857854061,22869.3857854061,0,0,0,26310.4667366332,20171.3578314188,0,22869.3857854061,34795.9596624977,47031.0404616462,0,19132.9914439635,6897.91064481498,0,
