TIME,YIELDS
47.33,0.00755733
47.42,0.00755713
47.5,0.00755693
47.58,0.00755673
47.67,0.00755654
47.75,0.00755634
47.83,0.00755614
47.92,0.00755595
48,0.00755575
48.08,0.00755556
48.17,0.00755537
48.25,0.00755517
48.33,0.00755498
48.42,0.00755479
48.5,0.0075546
48.58,0.00755441
48.67,0.00755422
48.75,0.00755403
48.83,0.00755384
48.92,0.00755366
49,0.00755347
49.08,0.00755328
49.17,0.0075531
49.25,0.00755291
49.33,0.00755273
49.42,0.00755254
49.5,0.00755236
49.58,0.00755218
49.67,0.007552
49.75,0.00755182
49.83,0.00755163
49.92,0.00755145
50,0.00755128
50.08,0.0075511
50.17,0.00755092
50.25,0.00755074
50.33,0.00755056
50.42,0.00755039
50.5,0.00755021
50.58,0.00755004
50.67,0.00754986
50.75,0.00754969
50.83,0.00754951
50.92,0.00754934
51,0.00754917
51.08,0.007549
51.17,0.00754882
51.25,0.00754865
51.33,0.00754848
51.42,0.00754831
51.5,0.00754814
51.58,0.00754798
51.67,0.00754781
51.75,0.00754764
51.83,0.00754747
51.92,0.00754731
52,0.00754714
52.08,0.00754698
52.17,0.00754681
52.25,0.00754665
52.33,0.00754648
52.42,0.00754632
52.5,0.00754616
52.58,0.00754599
52.67,0.00754583
52.75,0.00754567
52.83,0.00754551
52.92,0.00754535
53,0.00754519
53.08,0.00754503
53.17,0.00754487
53.25,0.00754472
53.33,0.00754456
53.42,0.0075444
53.5,0.00754424
53.58,0.00754409
53.67,0.00754393
53.75,0.00754378
53.83,0.00754362
53.92,0.00754347
54,0.00754331
54.08,0.00754316
54.17,0.00754301
54.25,0.00754286
54.33,0.0075427
54.42,0.00754255
54.5,0.0075424
54.58,0.00754225
54.67,0.0075421
54.75,0.00754195
54.83,0.0075418
54.92,0.00754165
55,0.0075415
55.08,0.00754136
55.17,0.00754121
55.25,0.00754106
55.33,0.00754092
55.42,0.00754077
55.5,0.00754062
55.58,0.00754048
55.67,0.00754033
55.75,0.00754019
55.83,0.00754005
55.92,0.0075399
