PolicyIdentifier;ProductName;InitialCharge;AccountName;Currency;IssueDate;NBDate;InvestmentDate;DeferralPeriod;Duration;AnnuityCommencementDate;PremiumPaymentMode;Premium;AmountInvested;WithdrawalMode;ConversionRate;InvestmentProtection;BenefitIncreaseFactor;WithdrawalModeDiscount;Guarantee;AccumulatedWithdrawalAmount;PerformanceBonusAmount;AccountValueBeforeBefore;AccountValueAfterBefore;AccountValue;BaseCapital;FundUnitsBeforeBefore;FundUnitsAfterBefore;FundUnits;NavDate;Nav
195002888;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;228;20140901;Single;300000.0;285000.0;monthly;0.05263158;1.011;1.0;0.0;15962.4;15962.4;0.0;259508.41;258178.21;257858.61;287323.2;2444.5027;2431.9726;2428.962;20150901;106.16
195002889;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;60;240;20190901;Single;500000.0;475000.0;yearly;0.06666667;1.0275;1.0;0.0;34250.0;0.0;0.0;456022.76;456022.76;455443.11;513750.0;4295.6176;4295.6176;4290.1574;20150901;106.16
195002892;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;240;20140901;Single;140000.0;136500.0;monthly;0.05;1.0137;1.0263158;0.0;7282.8;7282.8;0.0;124624.66;124017.77;123865.21;138373.2;1173.9324;1168.2156;1166.7785;20150901;106.16
195002894;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;36;240;20171101;Single;120684.0;114649.8;monthly;0.05882353;1.022;1.0;0.0;7255.2;0.0;0.0;110140.02;110140.02;110002.57;123338.4;1037.4908;1037.4908;1036.196;20150901;106.16
195002895;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;228;20140901;Single;130000.0;123500.0;semi-annually;0.05263158;1.011;1.0;0.0;6917.2;6917.2;0.0;115229.67;111771.08;111632.7;124509.6;1085.434;1052.8549;1051.5514;20150901;106.16
195002896;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;228;20140901;Single;130000.0;123500.0;semi-annually;0.05263158;1.011;1.0;0.0;6917.2;6917.2;0.0;115229.67;111771.08;111632.7;124509.6;1085.434;1052.8549;1051.5514;20150901;106.16
195002897;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;240;20140901;Single;212121.0;201514.95;yearly;0.05;1.0138;1.0;0.0;10752.4;10752.4;0.0;193574.3;182821.89;182596.95;204295.6;1823.4203;1722.1354;1720.0165;20150901;106.16
195002899;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;200000.0;190000.0;monthly;0.05;1.0138;1.0;0.0;10137.6;9292.8;0.0;172387.48;171542.68;171331.5;193459.2;1623.8459;1615.8881;1613.8988;20150901;106.16
195002900;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;240;264;20341001;Single;106061.0;100757.95;yearly;0.5;1.0385;1.0;0.0;55072.1;0.0;0.0;94455.67;94455.67;94215.67;110144.2;889.7482;889.7482;887.4875;20150901;106.16
195002902;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;228;20140901;Single;237000.0;225150.0;monthly;0.05263158;1.011;1.0;0.0;12610.8;12610.8;0.0;205011.21;203960.31;203707.82;226994.4;1931.1531;1921.2539;1918.8755;20150901;106.16
195002904;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;216;240;20320901;Single;60640.0;57608.0;yearly;0.5;1.0275;1.0;0.0;31153.8;0.0;0.0;54518.18;54518.18;54381.25;62307.6;513.5473;513.5473;512.2574;20150901;106.16
195002906;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;24;240;20160901;Single;60606.0;57575.7;yearly;0.055555556;1.0193;1.0;0.0;3431.9;0.0;0.0;55296.43;55296.43;55227.95;61774.2;520.8782;520.8782;520.2331;20150901;106.16
195002907;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;120;240;20241001;Single;50393.0;47873.35;yearly;0.1;1.0275;1.0;0.0;5177.8;0.0;0.0;45441.24;45441.24;45379.07;51778.0;428.0448;428.0448;427.4592;20150901;106.16
195002908;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;100675.0;95641.25;monthly;0.05;1.0136;1.0;0.0;5102.4;4677.2;0.0;86776.04;86350.84;86244.54;97370.8;817.4081;813.4028;812.4015;20150901;106.16
195002909;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;0;228;20140901;Single;200000.0;194000.0;monthly;0.05263158;1.011;1.0210527;0.0;10866.0;10866.0;0.0;176647.53;175742.03;175524.47;195588.0;1663.9745;1655.4449;1653.3955;20150901;106.16
195002912;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;48;240;20181001;Single;50000.0;47500.0;yearly;0.0625;1.0248;1.0;0.0;3202.5;0.0;0.0;45138.67;45138.67;45081.76;51240.0;425.1947;425.1947;424.6586;20150901;106.16
195002913;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;60;240;20191001;Single;100505.0;95479.75;monthly;0.06666667;1.0275;1.0;0.0;6884.4;0.0;0.0;90721.29;90721.29;90605.8;103266.0;854.5713;854.5713;853.4834;20150901;106.16
195002914;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20140901;20140901;20140901;60;228;20190901;Single;151515.0;143939.25;yearly;0.071428575;1.0231;1.0;0.0;11072.4;0.0;0.0;138168.31;138168.31;137990.95;155013.6;1301.5101;1301.5101;1299.8394;20150901;106.16
195002915;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;100000.0;95000.0;yearly;0.05;1.0138;1.0;0.0;5069.0;0.0;0.0;90313.15;90313.15;90202.63;101380.0;850.7267;850.7267;849.6857;20150901;106.16
195002917;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;60;300;20191001;Single;84211.0;80000.45;monthly;0.05;1.0548;1.0;0.0;4441.2;0.0;0.0;76048.98;76048.98;75955.48;88824.0;716.3619;716.3619;715.4812;20150901;106.16
195002918;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;240;20141001;Single;65373.0;62104.35;semi-annually;0.05;1.0138;1.0;0.0;3313.6;1656.8;0.0;57417.81;57417.81;57347.32;64615.2;540.8611;540.8611;540.1971;20150901;106.16
195002920;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;0;228;20141001;Single;80000.0;76000.0;yearly;0.05263158;1.011;1.0;0.0;4256.8;0.0;0.0;72245.16;72245.16;72156.25;80879.2;680.5309;680.5309;679.6934;20150901;106.16
195002921;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;12;240;20151001;Single;529293.0;502828.35;monthly;0.05263158;1.0165;1.0;0.0;28316.4;0.0;0.0;477981.44;477981.44;477392.84;538011.6;4502.4627;4502.4627;4496.9182;20150901;106.16
195002922;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;160501.0;152475.95;yearly;0.05;1.0138;1.0;0.0;8135.7;0.0;0.0;146515.42;146515.42;146336.35;162714.0;1380.1377;1380.1377;1378.4509;20150901;106.16
195002925;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;48;300;20181001;Single;149702.0;142216.9;monthly;0.04761905;1.0494;1.0;0.0;7480.8;0.0;0.0;135203.96;135203.96;135038.79;157096.8;1273.5867;1273.5867;1272.0308;20150901;106.16
195002926;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;47390.0;45020.5;monthly;0.05;1.0134;1.0;0.0;2401.2;2001.0;0.0;41502.3;41302.2;41251.45;46023.0;390.941;389.0561;388.5781;20150901;106.16
195002927;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141001;20141001;20141001;120;240;20241001;Single;248347.0;235929.65;yearly;0.1;1.0275;1.0;0.0;25517.6;0.0;0.0;223944.18;223944.18;223637.78;255176.0;2109.4968;2109.4968;2106.6106;20150901;106.16
195002928;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141201;20141201;20141201;0;240;20141201;Single;100000.0;95000.0;monthly;0.05;1.0138;1.0;0.0;5068.8;3801.6;0.0;86828.83;86406.43;86300.15;97574.4;817.9053;813.9264;812.9253;20150901;106.16
195002929;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;171717.0;163131.15;monthly;0.05;1.0137;1.0;0.0;8703.6;7253.0;0.0;150378.3;149653.01;149469.12;166819.0;1416.5251;1409.693;1407.9608;20150901;106.16
195002930;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;12;240;20151101;Single;200000.0;190000.0;monthly;0.05263158;1.0164;1.0;0.0;10699.2;0.0;0.0;182558.59;182558.59;182334.07;203300.0;1719.6551;1719.6551;1717.5402;20150901;106.16
195002931;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20141101;20141101;20141101;0;240;20141101;Single;178883.0;169938.85;semi-annually;0.05;1.0138;1.0;0.0;9067.4;4533.7;0.0;158844.79;158844.79;158650.05;176814.3;1496.2772;1496.2772;1494.4428;20150901;106.16
